path,createdUtc,kind,notes
data\logs\vehicles\Vehicle_4\2025-11-14.log,2025-11-14T14:04:21.094581800Z,LOG,created
data\logs\vehicles\Vehicle_5\2025-11-14.log,2025-11-14T14:05:18.840197200Z,LOG,created
data\archive\logs-20251114-150623.zip,2025-11-14T14:06:23.372611900Z,ARCHIVE,archived data\logs
data\archive\logs-20251114-151207.zip,2025-11-14T14:12:07.881090500Z,ARCHIVE,archived data\logs
C:\Users\ElenaKina\Desktop\New folder,2025-11-14T14:12:48.807649500Z,MOVE,moved from C:\Users\ElenaKina\Desktop\MedicalStorageConcurrency\data\logs\vehicles\Van One\2025-11-14.log
data\logs\vehicles\22\2025-11-14.log,2025-11-14T14:17:49.931193900Z,LOG,created
data\logs\vehicles\ee\2025-11-14.log,2025-11-14T14:33:58.195598500Z,LOG,created
data\logs\vehicles\ww\2025-11-14.log,2025-11-14T14:39:16.386780Z,LOG,created
data\logs\charging\Default_Station_1\2025-11-14.log,2025-11-14T14:42:30.344889100Z,LOG,created
data\logs\charging\Default_Station_2\2025-11-14.log,2025-11-14T14:42:30.361877300Z,LOG,created
data\logs\charging\Default_Station_3\2025-11-14.log,2025-11-14T14:42:30.372877600Z,LOG,created
data\logs\vehicles\Van One\2025-11-14.log,2025-11-14T14:42:30.373887300Z,LOG,created
data\logs\charging\QUEUE\2025-11-14.log,2025-11-14T14:42:30.381992400Z,LOG,created
